会议名称,简称,CCF等级,CORE等级,CCF领域,数据来源,匹配依据,CORE名称别名
AAAI Conference on Artificial Intelligence,AAAI,A,A*,人工智能,CCF2026|CORE2026,简称唯一匹配,National Conference of the American Association for Artificial Intelligence
AAAI Conference on Human Computation and Crowdsourcing,HCOMP,,B,,CORE2026,仅CORE收录,
"AAAI/ACM Conference on AI, Ethics, and Society",AIES,,C,,CORE2026,仅CORE收录,
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,,C,,CORE2026,仅CORE收录,
ACM Asia Conference on Computer and Communications Security,AsiaCCS,C,A,网络与信息安全,CCF2026|CORE2026,简称唯一匹配,"Asia Conference on Information, Computer and Communications Security"
ACM Conference on Computer and Communications Security,CCS,A,A*,网络与信息安全,CCF2026|CORE2026,标题精确匹配,
ACM Conference On Computer-Supported Cooperative Work And Social Computing,CSCW,A,A,人机交互与普适计算,CCF2026|CORE2026,简称唯一匹配,ACM Conference on Computer Supported Cooperative Work
ACM Conference on Economics and Computation,EC,,A*,,CORE2026,仅CORE收录,
ACM Conference on Embedded Networked Sensor Systems,SenSys,B,unranked: merged,计算机网络,CCF2026|CORE2026,标题精确匹配,
ACM Conference on Human Factors in Computing Systems,CHI,A,A*,人机交互与普适计算,CCF2026|CORE2026,简称唯一匹配,International Conference on Human Factors in Computing Systems
ACM Conference on Learning @ Scale,L@S,,B,,CORE2026,仅CORE收录,
ACM Conference on Recommender Systems,RecSys,B,A,数据库/数据挖掘/内容检索,CCF2026|CORE2026,简称唯一匹配,ACM International Conference on Recommender Systems
ACM Conference on Security and Privacy in Wireless and Mobile Networks,WiSec,C,B,网络与信息安全,CCF2026|CORE2026,标题精确匹配,
ACM Information Technology Education,SIGITE,,National: USA,,CORE2026,仅CORE收录,
ACM Interaction Design and Children,IDC,C,,人机交互与普适计算,CCF2026,仅CCF收录,
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,,C,,CORE2026,仅CORE收录,
"ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,A,A*,计算机网络,CCF2026|CORE2026,简称唯一匹配,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication"
ACM International Conference on Computing Frontiers,CF,C,,计算机体系结构/并行与分布计算/存储系统,CCF2026,仅CCF收录,
ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,B,A,计算机网络,CCF2026|CORE2026,标题精确匹配,
ACM International Conference on Information and Knowledge Management,CIKM,B,A,数据库/数据挖掘/内容检索,CCF2026|CORE2026,标题精确匹配,
ACM International Conference on Intelligent User Interfaces,IUI,B,A,人机交互与普适计算,CCF2026|CORE2026,简称唯一匹配,International Conference on Intelligent User Interfaces
ACM International Conference on Interactive Media Experiences,IMX,,C,,CORE2026,仅CORE收录,
ACM International Conference on Interactive Surfaces and Spaces,ISS,B,Journal Published,人机交互与普适计算,CCF2026|CORE2026,简称唯一匹配,ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop)
ACM International Conference on Knowledge Discovery and Data Mining,KDD,,A*,,CORE2026,仅CORE收录,
ACM International Conference on Mobile Computing and Networking,MobiCom,A,A*,计算机网络,CCF2026|CORE2026,标题精确匹配,
ACM International Conference on Mobile Human-Computer Interaction,MobileHCI,B,B,人机交互与普适计算,CCF2026|CORE2026,简称唯一匹配,International Conference on Human-Computer Interaction with Mobile Devices and Services
"ACM International Conference on Mobile Systems, Applications, and Services",MobiSys,B,A,计算机网络,CCF2026|CORE2026,简称唯一匹配,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services"
ACM International Conference on Multimedia,ACM MM,A,,计算机图形学与多媒体,CCF2026,仅CCF收录,
ACM International Conference on Multimedia in Asia,MM_Asia,,C,,CORE2026,仅CORE收录,
ACM International Conference on Multimodal Interaction,ICMI,C,B,人机交互与普适计算,CCF2026|CORE2026,简称唯一匹配,International Conference on Multimodal Interaction (was International Conference on Multimodal Interfaces)
ACM International Conference on Supporting Group Work,GROUP,B,B,人机交互与普适计算,CCF2026|CORE2026,简称唯一匹配,ACM Special Interest Group on Supporting Group Work (was SIGGRoup)
ACM International Conference on the Foundations of Software Engineering,FSE,A,,软件工程/系统软件/程序设计语言,CCF2026,仅CCF收录,
"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,,A*,,CORE2026,仅CORE收录,
ACM International Conference on Web Search and Data Mining,WSDM,B,A,数据库/数据挖掘/内容检索,CCF2026|CORE2026,标题精确匹配,
ACM international joint conference on Pervasive and Ubiquitous Computing,UbiComp,A,journal published,人机交互与普适计算,CCF2026|CORE2026,简称唯一匹配,ACM International Joint Conference on Pervasive and Ubiquitous Computing (PERVASIVE and UbiComp combined from 2013)
ACM International Systems and Storage Conference,SYSTOR,C,National:Israel,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,The ACM International System and Storage Conference
ACM International Wireless Communications and Mobile Computing Conference,IWCMC,,B,,CORE2026,仅CORE收录,
ACM Internet Measurement Conference,IMC,B,A,计算机网络,CCF2026|CORE2026,简称唯一匹配,Internet Measurement Conference
ACM Multimedia,ACMMM,,A*,,CORE2026,仅CORE收录,
ACM Multimedia Asia,MMAsia,C,,计算机图形学与多媒体,CCF2026,仅CCF收录,
ACM Multimedia Systems Conference,MMSys,,A,,CORE2026,仅CORE收录,
ACM SIGCHI Conference on Designing Interactive Systems,DIS,C,A,人机交互与普适计算,CCF2026|CORE2026,简称唯一匹配,Designing Interactive Systems
ACM SIGGRAPH conference on Motion Interaction and Games,MIG,,C,,CORE2026,仅CORE收录,
ACM SIGGRAPH Symposium on Interactive 3D Graphics and Games,I3D,B,,计算机图形学与多媒体,CCF2026,仅CCF收录,
ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,B,B,计算机图形学与多媒体,CCF2026|CORE2026,标题精确匹配,
ACM SIGIR Conference on Human Information Interaction And Retrieval,CHIIR,,B,,CORE2026,仅CORE收录,
ACM SIGKDD Conference on Knowledge Discovery and Data Mining,SIGKDD,A,,数据库/数据挖掘/内容检索,CCF2026,仅CCF收录,
ACM SIGMM International Conference on Multimedia Retrieval,ICMR,B,B,计算机图形学与多媒体,CCF2026|CORE2026,简称唯一匹配,International Conference on Multimedia Retrieval (previously MIR)
ACM SIGMOD Conference,SIGMOD,A,A*,数据库/数据挖掘/内容检索,CCF2026|CORE2026,简称唯一匹配,ACM Special Interest Group on Management of Data Conference
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,PODS,B,A*,数据库/数据挖掘/内容检索,CCF2026|CORE2026,简称唯一匹配,ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems
ACM SIGOPS Annual Technical Conference,ACM SIGOPS ATC （原 USENIX ATC）,A,,计算机体系结构/并行与分布计算/存储系统,CCF2026,仅CCF收录,
ACM SIGPLAN Conference on Programming Language Design and Implementation,PLDI,A,A*,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,ACM-SIGPLAN Conference on Programming Language Design and Implementation
ACM SIGPLAN International Conference on Function Programming,ICFP,B,A,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,简称唯一匹配,International Conference on Functional Programming
ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,PPoPP,A,B,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,Principles and Practice of Parallel Programming
ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,PEPM,C,C,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,
ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,POPL,A,A*,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,简称唯一匹配,ACM-SIGACT Symposium on Principles of Programming Languages
"ACM SIGPLAN/SIGBED International Conference on Languages, Compilers and Tools for Embedded Systems",LCTES,B,B,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,简称唯一匹配,"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems"
ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,,B,,CORE2026,仅CORE收录,
ACM SIGUCCS Conference on User Services,SIGUCCS,,National: USA,,CORE2026,仅CORE收录,
ACM Special Interest Group on Computer Graphics,SIGGRAPH,A,A*,计算机图形学与多媒体,CCF2026|CORE2026,简称唯一匹配,ACM SIG International Conference on Computer Graphics and Interactive Techniques
ACM Special Interest Group on Computer Science Education Conference,SIGCSE,,A,,CORE2026,仅CORE收录,
ACM Special Interest Group on Spatial Information,SIGSPATIAL,C,A,交叉/综合/新兴,CCF2026|CORE2026,简称唯一匹配,ACM International Conference on Advances in Geographic Information Systems
ACM Symposium on Access Control Models and Technologies,SACMAT,C,C,网络与信息安全,CCF2026|CORE2026,简称唯一匹配,"ACM Symposium on Access Control Models and Technologies (previously ACM Workshop on Role-Based Access Control, RBAC, changed in 2000)"
ACM Symposium on Applied Computing,SAC,,Multiconference,,CORE2026,仅CORE收录,
ACM Symposium on Applied Perception,SAP,,B,,CORE2026,仅CORE收录,
ACM Symposium on Cloud Computing,SoCC,B,,计算机体系结构/并行与分布计算/存储系统,CCF2026,仅CCF收录,
ACM Symposium on Document Engineering,DocEng,,B,,CORE2026,仅CORE收录,
ACM Symposium on Operating Systems Principles,SOSP,A,A*,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,简称唯一匹配,ACM SIGOPS Symposium on Operating Systems Principles
ACM Symposium on Parallelism in Algorithms and Architectures,SPAA,B,B,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,Symposium on Parallelism in Algorithms and Architectures
ACM Symposium on Principles of Distributed Computing,PODC,B,A*,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,标题精确匹配,
ACM Symposium on the Theory of Computing,STOC,A,A*,计算机科学理论,CCF2026|CORE2026,简称唯一匹配,ACM Symposium on Theory of Computing
ACM Symposium on User Interface Software and Technology,UIST,A,A*,人机交互与普适计算,CCF2026|CORE2026,标题精确匹配,
ACM Symposium on Virtual Reality Software and Technology,VRST,C,B,计算机图形学与多媒体,CCF2026|CORE2026,简称唯一匹配,ACM Virtual Reality Software and Technology
ACM The Workshop on Hot Topics in Networks,HotNets,C,National: USA,计算机网络,CCF2026|CORE2026,简称唯一匹配,ACM Workshop on Hot Topics in Networks
ACM Workshop on Digital Rights Management,DRM,C,,网络与信息安全,CCF2026,仅CCF收录,
ACM Workshop on Information Hiding and Multimedia Security,IH&MMSec,C,C,网络与信息安全,CCF2026|CORE2026,简称唯一匹配,Information Hiding and Multimedia Security Workshop
ACM-SIAM Symposium on Discrete Algorithms,SODA,A,A*,计算机科学理论,CCF2026|CORE2026,标题精确匹配,ACM/SIAM Symposium on Discrete Algorithms
ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,,B,,CORE2026,仅CORE收录,
ACM/IEEE International Conference on Human-Robot Interaction,HRI,,A*,,CORE2026,仅CORE收录,
ACM/IEEE International Conference on Model Driven EngineeringLanguages and Systems,MoDELS,B,A,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,简称唯一匹配,"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)"
ACM/IEEE International Symposium on Networks-on-Chip,NOCS,C,,计算机体系结构/并行与分布计算/存储系统,CCF2026,仅CCF收录,
ACM/IEEE Symposium on Architectures for Networking and Communication Systems,ANCS,C,,计算机网络,CCF2026,仅CCF收录,
ACM/IEEE Symposium on Edge Computing,SEC,C,unranked,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,标题精确匹配,
ACM/IEEE Symposium on Logic in Computer Science,LICS,A,A*,计算机科学理论,CCF2026|CORE2026,简称唯一匹配,IEEE Symposium on Logic in Computer Science
ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,FPGA,B,A,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,ACM Int'l Symposium on Field Programmable Gate Arrays
ACM/SPEC International Conference on Performance Engineering,ICPE,,B,,CORE2026,仅CORE收录,
ACMSIGPLAN-SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,PASTE,C,,软件工程/系统软件/程序设计语言,CCF2026,仅CCF收录,
ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,,C,,CORE2026,仅CORE收录,
Advanced Concepts for Intelligent Vision Systems,ACIVS,,B,,CORE2026,仅CORE收录,
Advances in Financial Technologies,AFT,C,B,交叉/综合/新兴,CCF2026|CORE2026,标题精确匹配,
Advances in Modal Logic,AiML,,B,,CORE2026,仅CORE收录,
Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,,B,,CORE2026,仅CORE收录,
American Medical Informatics Association Annual Symposium,AMIA,C,National: USA,交叉/综合/新兴,CCF2026|CORE2026,简称唯一匹配,American Medical Informatics Annual Fall Symposium
Annual Computer Security Applications Conference,ACSAC,B,A,网络与信息安全,CCF2026|CORE2026,标题精确匹配,
Annual Conference of the European Association for Computer Graphics,Eurographics,B,,计算机图形学与多媒体,CCF2026,仅CCF收录,
Annual Conference on Computational Learning Theory,COLT,B,A*,人工智能,CCF2026|CORE2026,简称唯一匹配,Conference on Learning Theory
Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,,B,,CORE2026,仅CORE收录,
"Annual Conference on Privacy, Security and Trust",PST,,C,,CORE2026,仅CORE收录,
Annual International Conference on Research in Computational Molecular Biology,RECOMB,B,B,交叉/综合/新兴,CCF2026|CORE2026,简称唯一匹配,International Conference on Computational Molecular Biology
Annual International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,B,A,网络与信息安全,CCF2026|CORE2026,简称唯一匹配,International Conference on the Theory and Application of Cryptology and Information Security
Annual International Workshop on Presence,ISPR,,C,,CORE2026,仅CORE收录,
Annual Meeting of the Association for Computational Linguistics,ACL,A,A*,人工智能,CCF2026|CORE2026,简称唯一匹配,Association for Computational Linguistics
Annual Meeting of the Cognitive Science Society,CogSci,B,B,交叉/综合/新兴,CCF2026|CORE2026,标题精确匹配,
Annual Meeting of the Special Interest Group on Discourse and Dialog,SIGdial,,B,,CORE2026,仅CORE收录,
Applications of Information Visualization,IV-App,,C,,CORE2026,仅CORE收录,
Applications of Natural Language to Data Bases,NLDB,,C,,CORE2026,仅CORE收录,
Applied Computing Conference,ACC,,C,,CORE2026,仅CORE收录,
Artificial Intelligence Applications and Innovations,AIAI,,National/Regional,,CORE2026,仅CORE收录,
"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,,C,,CORE2026,仅CORE收录,
Asia and South Pacific Design Automation Conference,ASP-DAC,C,B,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,标题精确匹配,
Asia Pacific Bioinformatics Conference,APBC,C,B,交叉/综合/新兴,CCF2026|CORE2026,标题精确匹配,Asia-Pacific Bioinformatics Conference
Asia Pacific Conference on Communications,APCC,,C,,CORE2026,仅CORE收录,
Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems),IES,,C,,CORE2026,仅CORE收录,
Asia Pacific Web Conference,APWeb,C,C,数据库/数据挖掘/内容检索,CCF2026|CORE2026,简称唯一匹配,Web and Big Data
Asia-Pacific Conference on Conceptual Modelling,APCCM,,Australasian C,,CORE2026,仅CORE收录,
Asia-Pacific Network Operations and Management Symposium,APNOMS,C,C,计算机网络,CCF2026|CORE2026,标题精确匹配,
Asia-Pacific Services Computing Conference,APSCC,,C,,CORE2026,仅CORE收录,
Asia-Pacific Software Engineering Conference,APSEC,C,C,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,
Asia-Pacific Symposium on Internetware,Internetware,C,,软件工程/系统软件/程序设计语言,CCF2026,仅CCF收录,
Asia-Pacific Workshop on Networking,APNet,C,,计算机网络,CCF2026,仅CCF收录,
Asian Conference on Computer Vision,ACCV,C,B,人工智能,CCF2026|CORE2026,标题精确匹配,
Asian Conference on Intelligent Information and Database Systems,ACIIDS,,B,,CORE2026,仅CORE收录,
Asian Conference on Machine Learning,ACML,C,C,人工智能,CCF2026|CORE2026,标题精确匹配,
Asian Symposium on Programming Languages and Systems,APLAS,C,B,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,
"Asilomar Conference on Signals, Systems and Computing",ACSSC,,National: USA,,CORE2026,仅CORE收录,
Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference,CAADRIA,,C,,CORE2026,仅CORE收录,
Australasia Conference on Information Security and Privacy,ACISP,C,Australasian B,网络与信息安全,CCF2026|CORE2026,简称唯一匹配,Australasian Conference on Information Security and Privacy
Australasian Computing Education Conference (ACE),ACE,,Australasian B,,CORE2026,仅CORE收录,
Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,,Australasian C,,CORE2026,仅CORE收录,
Australasian Conference on Robotics and Automation,ACRA,,Australasian C,,CORE2026,仅CORE收录,
Australasian Database Conference,ADC,,Australasian B,,CORE2026,仅CORE收录,
Australasian Document Computing Symposium,ADCS,,Australasian B,,CORE2026,仅CORE收录,
Australasian Information Security Conference,AISC,,Australasian C,,CORE2026,仅CORE收录,
Australasian Joint Conference on Artificial Intelligence,AI,,Australasian B,,CORE2026,仅CORE收录,
Australasian Language Technology Workshop,ALTA,,Australasian C,,CORE2026,仅CORE收录,
Australasian Speech Science and Technology,SST,,Australasian C,,CORE2026,仅CORE收录,
Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,,Australasian C,,CORE2026,仅CORE收录,
Australian Computer Human Interaction Conference,OZCHI,,Australasian B,,CORE2026,仅CORE收录,
Australian Data Mining Conference,AusDM,,Australasian C,,CORE2026,仅CORE收录,
Australian Institute of Computer Ethics Conference,AICE,,Australasian C,,CORE2026,仅CORE收录,
Automatic Speech Recognition and Understanding Workshop,ASRU,C,C,计算机图形学与多媒体,CCF2026|CORE2026,简称唯一匹配,IEEE Automatic Speech Recognition and Understanding Workshop
Automation of Software Test,AST,,C,,CORE2026,仅CORE收录,
Body Sensor Networks,BSN,,C,,CORE2026,仅CORE收录,
British Computer Society Conference on Human-Computer Interaction,HCI,,National,,CORE2026,仅CORE收录,
British Machine Vision Conference,BMVC,C,A,人工智能,CCF2026|CORE2026,标题精确匹配,
CCF International Conference on Extended Reality,ICXR,C,,人机交互与普适计算,CCF2026,仅CCF收录,
CCF International Conference on Natural Language Processing and Chinese Computing,NLPCC,C,,人工智能,CCF2026,仅CCF收录,
Certified Programs and Proofs,CPP,,B,,CORE2026,仅CORE收录,
CHI PLAY: The Annual Symposium on Computer-Human Interaction in Play,CHI PLAY,,Journal Published,,CORE2026,仅CORE收录,
Chinese Conference on Pattern Recognition and Computer Vision,PRCV,C,,计算机图形学与多媒体,CCF2026,仅CCF收录,
Cologne-Twente Workshop on Graphs and Combinatorial Optimization,CTW,,C,,CORE2026,仅CORE收录,
Combinatorial Pattern Matching,CPM,,B,,CORE2026,仅CORE收录,
Computability in Europe: Logic and Theory of Algorithms,CiE,,C,,CORE2026,仅CORE收录,
Computational Intelligence in Security for Information Systems,CISIS,,National: Spain,,CORE2026,仅CORE收录,
Computational Visual Media,CVM,C,,计算机图形学与多媒体,CCF2026,仅CCF收录,
Computer Algebra in Scientific Computing,CASC,,B,,CORE2026,仅CORE收录,
"Computer Animation, Information Visualisation, and Digital Effects",CAivDE,,C,,CORE2026,仅CORE收录,
Computer Graphics International,CGI,C,C,计算机图形学与多媒体,CCF2026|CORE2026,标题精确匹配,
Computer Science Logic,CSL,C,B,计算机科学理论,CCF2026|CORE2026,简称唯一匹配,Annual Conference on Computer Science Logic
Computer Sciences and Information Technologies,CSIT,,National,,CORE2026,仅CORE收录,
Conference for the International Simulation and Gaming Association,ISAGA,,C,,CORE2026,仅CORE收录,
Conference of the Association for Machine Translation in the Americas,AMTA,,National/Regional,,CORE2026,仅CORE收录,
Conference of the Association of Asian-Pacific Operational Research Societies,APORS,,C,,CORE2026,仅CORE收录,
Conference of the European Association for Machine Translation,EAMT,,C,,CORE2026,仅CORE收录,
Conference of the European Society for Fuzzy Logic and Technologies,EUSFLAT,,C,,CORE2026,仅CORE收录,
Conference of the International Speech Communication Association,INTER-SPEECH,B,,计算机图形学与多媒体,CCF2026,仅CCF收录,
Conference on Agile Software Development,XP,,B,,CORE2026,仅CORE收录,
Conference on Algebra and Coalgebra in Computer Science,CALCO,,B,,CORE2026,仅CORE收录,
Conference on Algorithmic Aspects in Information and Management,AAIM,,C,,CORE2026,仅CORE收录,
Conference on Automated Deduction,CADE,B,A,计算机科学理论,CCF2026|CORE2026,简称唯一匹配,International Conference on Automated Deduction
Conference on Combinatorial Optimization and Applications,COCOA,,C,,CORE2026,仅CORE收录,
Conference on Computational Complexity,CCC,B,A,计算机科学理论,CCF2026|CORE2026,简称唯一匹配,IEEE Conference on Computational Complexity
Conference on Computational Natural Language Learning,CoNLL,C,B,人工智能,CCF2026|CORE2026,标题精确匹配,
CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS,FedCSIS,,C,,CORE2026,仅CORE收录,
Conference on Data and Application Security and Privacy,CODASPY,C,,网络与信息安全,CCF2026,仅CCF收录,
Conference on Detection of Intrusions and Malware & Vulnerability Assessment,DIMVA,C,B,网络与信息安全,CCF2026|CORE2026,简称唯一匹配,"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment"
Conference on Empirical Methods in Natural Language Processing,EMNLP,B,A*,人工智能,CCF2026|CORE2026,简称唯一匹配,Empirical Methods in Natural Language Processing
Conference on Fun with Algorithms,FUN,,National: Italy,,CORE2026,仅CORE收录,
Conference on Games (was Computational Intelligence and Games CIG),COG,,C,,CORE2026,仅CORE收录,
"Conference on Green, Pervasive and Cloud Computing",GPC,C,C,人机交互与普适计算,CCF2026|CORE2026,简称唯一匹配,"International Conference on Green, Pervasive and Cloud Computing (was Grid and Pervasive Computing)"
Conference on Information Sciences and Systems,CISS,,National: USA,,CORE2026,仅CORE收录,
"Conference on Innovation in Clouds, Internet and Networks",ICIN,,National: France,,CORE2026,仅CORE收录,
Conference on Innovative Data Systems Research,CIDR,B,A,数据库/数据挖掘/内容检索,CCF2026|CORE2026,标题精确匹配,
Conference on Intelligent Computer Mathematics,CICM,,C,,CORE2026,仅CORE收录,
"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)",ITP,,B,,CORE2026,仅CORE收录,
Conference on Neural Information Processing Systems,NeurIPS,A,A*,人工智能,CCF2026|CORE2026,简称唯一匹配,Advances in Neural Information Processing Systems (was NIPS)
"Conference on Object-Oriented Programming Systems, Languages, and Applications",OOPSLA,A,A,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,简称唯一匹配,ACM Conference on Object Oriented Programming Systems Languages and Applications
Conference on Robot Learning,CoRL,,Unranked,,CORE2026,仅CORE收录,
Conference on Security and Cryptography for Networks,SCN,,National: Italy,,CORE2026,仅CORE收录,
"Conference on Software Engineering Education and Training (previously Conference is Software Engineering Education, CSEE, changed in 1997)",CSEET,,C,,CORE2026,仅CORE收录,
Conference on Software in Telecommunications and Computer Networks,SOFTCOM,,National: Croatia,,CORE2026,仅CORE收录,
Conference on Theory and Applications of Models of Computation,TAMC,,C,,CORE2026,仅CORE收录,
Conference on Uncertainty in Artificial Intelligence,UAI,B,A,人工智能,CCF2026|CORE2026,简称唯一匹配,Conference in Uncertainty in Artificial Intelligence
Conference on Visualization and Data Analysis,VDA,,National: USA,,CORE2026,仅CORE收录,
Conference on Web and Internet Economics,WINE,B,,交叉/综合/新兴,CCF2026,仅CCF收录,
Congress on Evolutionary Computation,IEEE CEC,C,,人工智能,CCF2026,仅CCF收录,
"Cooperative Design, Visualization, and Engineering",CDVE,,C,,CORE2026,仅CORE收录,
Creativity and Cognition,C&C,,B,,CORE2026,仅CORE收录,
Current Trends in Theory and Practice of Computer Science,SOFSEM,,B,,CORE2026,仅CORE收录,
Data Compression Conference,DCC,B,B,计算机图形学与多媒体,CCF2026|CORE2026,标题精确匹配,
Data Warehousing and Knowledge Discovery,DaWaK,,B,,CORE2026,仅CORE收录,
"Datenbanksysteme f眉r Business, Technologie und Web",BTW,,National:Germany,,CORE2026,仅CORE收录,
Design Automation Conference,DAC,A,A*,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,Design Automation Conf
"Design, Automation & Test in Europe",DATE,B,A,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,"Design, Automation and Test in Europe Conference"
Developments in eSystems Engineering,DeSE,,C,,CORE2026,仅CORE收录,
Developments in Language Theory,DLT,,C,,CORE2026,仅CORE收录,
Digital Audio Effects Conference,DAFX,,C,,CORE2026,仅CORE收录,
Digital Forensic Research Workshop,DFRWS,C,,网络与信息安全,CCF2026,仅CCF收录,
Digital Games Research Conference,DIGRA,,C,,CORE2026,仅CORE收录,
Digital Image Computing Techniques and Applications,DICTA,,Australasian C,,CORE2026,仅CORE收录,
Discovery Science,DS,,B,,CORE2026,仅CORE收录,
DNA Computing and Molecular Programming,DNA,,B,,CORE2026,仅CORE收录,
Dynamic Languages Symposium,DLS,,C,,CORE2026,仅CORE收录,
Educational Data Mining,EDM,,B,,CORE2026,仅CORE收录,
"EMAS (merger of DALT, AOSE and PROMAS)",EMAS,,B,,CORE2026,仅CORE收录,
Engineering Interactive Computing Systems,EICS,,Journal Published,,CORE2026,仅CORE收录,
ETHICOMP Conference,ETHICOMP,,C,,CORE2026,仅CORE收录,
EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS,EATIS,,C,,CORE2026,仅CORE收录,
Euro XR International Conference (was Euro VR),Euro XR,,C,,CORE2026,仅CORE收录,
"EuroConference on Combinatorics, Graph Theory and Applications",EUroComb,,C,,CORE2026,仅CORE收录,
Eurographics Conference on Visualization,EuroVis,B,B,计算机图形学与多媒体,CCF2026|CORE2026,简称唯一匹配,Eurographics/IEEE Symposium on Visualization
Eurographics Symposium on Geometry Processing,SGP,B,B,计算机图形学与多媒体,CCF2026|CORE2026,简称唯一匹配,Symposium on Geometry Processing
Eurographics Symposium on Parallel Graphics and Visualization,EGPGV,,C,,CORE2026,仅CORE收录,
Eurographics Symposium on Rendering,EGSR,B,,计算机图形学与多媒体,CCF2026,仅CCF收录,
Euromicro Conference on Real-Time Systems,ECRTS,,B,,CORE2026,仅CORE收录,
Euromicro Conference on Software Engineering and Advanced Applications,SEAA,,B,,CORE2026,仅CORE收录,
Euromicro Conference Series on Digital System Design,DSD,,C,,CORE2026,仅CORE收录,
"Euromicro International Conference on Parallel, Distributed and Network Based Processing",PDP,,C,,CORE2026,仅CORE收录,
European Association for Computational Linguistics,EACL,,A,,CORE2026,仅CORE收录,
European Chapter on Combinatorial Optimization,ECCO,,C,,CORE2026,仅CORE收录,
European Conference on Artificial Intelligence,ECAI,B,A,人工智能,CCF2026|CORE2026,标题精确匹配,
European Conference on Computational Biology,ECCB,,C,,CORE2026,仅CORE收录,
European Conference on Computer Supported Cooperative Work,ECSCW,B,B,人机交互与普适计算,CCF2026|CORE2026,标题精确匹配,
European Conference on Computer Systems,EuroSys,A,A,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,Eurosys Conference
European Conference on Computer Vision,ECCV,B,A*,人工智能,CCF2026|CORE2026,标题精确匹配,
European Conference on Digital Government (was European Conference on e-Government ECEG),ECDG,,C,,CORE2026,仅CORE收录,
European Conference on Evolutionary Computation in Combinatorial Optimisation,EvoCOP,,B,,CORE2026,仅CORE收录,
