期刊名称,简称,CCF等级,CCF领域,中科院大类,中科院大类分区,中科院 Top,WOS索引,中科院小类分区,特殊标注,数据来源,JCR类别,JCR影响因子2024,JCR分区2024
ACTA MECHANICA SOLIDA SINICA,,,,工程技术,4区,否,SCIE,"MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合::4区 [276/436] | MECHANICS 力学::4区 [108/171]",,中科院2025,,,
Acta Polytechnica,,,,工程技术,4区,否,ESCI,"ENGINEERING, MULTIDISCIPLINARY 工程：综合::4区 [127/179]",,中科院2025,,,
Acta Polytechnica Hungarica,,,,工程技术,4区,否,SCIE,"ENGINEERING, MULTIDISCIPLINARY 工程：综合::4区 [74/179]",,中科院2025,,,
Acta Technica Napocensis Series-Applied Mathematics Mechanics and Engineering,,,,工程技术,4区,否,ESCI,MECHANICS 力学::4区 [170/171],,中科院2025,,,
Acta Universitatis Sapientiae Informatica,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::4区 [136/143]",,中科院2025|JCR2024,"COMPUTER SCIENCE, THEORY & METHODS(ESCI)",0.3,Q4
Actuators,,,,工程技术,3区,否,SCIE,"ENGINEERING, MECHANICAL 工程：机械::3区 [71/181] | INSTRUMENTS & INSTRUMENTATION 仪器仪表::3区 [31/76]",,中科院2025,,,
Ad Hoc & Sensor Wireless Networks,,,,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [208/249] | TELECOMMUNICATIONS 电信学::4区 [104/119]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);TELECOMMUNICATIONS(SCIE)",0.6,Q4
Ad Hoc Networks,,C,计算机网络,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::3区 [65/249] | TELECOMMUNICATIONS 电信学::3区 [33/119]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);TELECOMMUNICATIONS(SCIE)",4.8,Q1
ADAPTIVE BEHAVIOR,,,,计算机科学,4区,否,SSCI;SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [132/196] | PSYCHOLOGY, EXPERIMENTAL 心理学：实验::4区 [85/99] | SOCIAL SCIENCES, INTERDISCIPLINARY 社会科学：跨领域::4区 [135/263]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);PSYCHOLOGY, EXPERIMENTAL(SSCI);SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)",1.3,Q2
ADCAIJ-Advances in Distributed Computing and Artificial Intelligence Journal,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [180/196]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI)",1.6,Q3
